id|category|difficulty|question|A|B|C|D|correct
1|Geography|easy|What is the capital of Egypt?|Cairo|Alexandria|Giza|Luxor|A
2|Geography|medium|Which river passes through Baghdad?|Nile|Tigris|Amazon|Danube|B
3|Science|easy|What planet is known as the Red Planet?|Venus|Mars|Mercury|Saturn|B
4|Science|medium|What is H2O commonly known as?|Hydrogen|Oxygen|Water|Helium|C
5|Math|easy|What is 12 + 8?|18|20|22|24|B
6|Math|medium|What is the derivative of x^2?|x|2x|x^2|2|B
7|Science|hard|What particle has a negative charge?|Proton|Neutron|Electron|Photon|C
8|Geography|hard|Which country has the city of Cusco?|Chile|Peru|Bolivia|Ecuador|B
9|Math|hard|What is the value of pi rounded to 2 decimals?|3.10|3.12|3.14|3.16|C
10|Science|easy|Which gas do plants absorb from air?|Oxygen|Nitrogen|Carbon Dioxide|Hydrogen|C
11|Geography|medium|Which continent is Kenya in?|Europe|Africa|Asia|Australia|B
12|Math|easy|What is 9 x 7?|56|63|72|79|B
